accession	file	gtdb_species	ncbi_taxid_strain	ncbi_taxid_species	species_name_kraken2	bartlett_species	bartlett_taxid	in_kraken2	match_method	gtdb_taxonomy
GCA_000012145.1	GCA_000012145.1_genomic.fna.gz	Rickettsia felis	315456	42862	Rickettsia felis	Rickettsia felis	42862	yes	bartlett_list	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia felis
GCA_000027065.2	GCA_000027065.2_genomic.fna.gz	Cronobacter turicensis	693216	413502	Cronobacter turicensis	Cronobacter turicensis	413502	yes	bartlett_list	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter turicensis
GCA_000146855.1	GCA_000146855.1_genomic.fna.gz	Peptoanaerobacter margaretiae	864565	39498	[Eubacterium] yurii	[Eubacterium] yurii	39498	no	bartlett_list	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Peptoanaerobacter;s__Peptoanaerobacter margaretiae
GCA_000154345.1	GCA_000154345.1_genomic.fna.gz	Clostridium_A leptum	428125	1485	Clostridium			yes	closest_ancestor_g	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum
GCA_000161975.1	GCA_000161975.1_genomic.fna.gz	Eubacterium_N saphenum	592031	51123	[Eubacterium] saphenum	[Eubacterium] saphenum	51123	no	bartlett_list	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_N;s__Eubacterium_N saphenum
GCA_000163995.1	GCA_000163995.1_genomic.fna.gz	Campylobacter_D jejuni_A	683083	197	Campylobacter jejuni	Campylobacter jejuni	197	yes	bartlett_list	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni_A
GCA_000176735.1	GCA_000176735.1_genomic.fna.gz	Neisseria polysaccharea	546267	489	Neisseria polysaccharea			yes	name_rescue	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria polysaccharea
GCA_000182945.1	GCA_000182945.1_genomic.fna.gz	Fusobacterium vincentii	209882	155615	Fusobacterium vincentii			yes	name_rescue	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium vincentii
GCA_000230935.2	GCA_000230935.2_genomic.fna.gz	Mycobacterium rhodesiae_B	931627	36814	Mycolicibacterium rhodesiae	Mycolicibacterium rhodesiae	36814	yes	bartlett_list	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium rhodesiae_B
GCA_000296995.1	GCA_000296995.1_genomic.fna.gz	Streptococcus sp000296995	1169671	1301	Streptococcus			yes	closest_ancestor_g	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp000296995
