group_taxid	group_name	kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_species	taxonomy	n_blanks_present	mean_reads_blank	max_reads_blank	sum_reads_all_blanks	min_tier_blank	in_run28_blank	runs_present	prevalence	mean_reads_all_blanks	reads_run28	contamination_class	mean_rpm_blank	max_rpm_blank	std_rpm_blank	lot_batch_runs
85698	Achromobacter xylosoxidans	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	Pseudomonadota|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter|Achromobacter xylosoxidans	14	32.285714285714285	140	452	1	true	13,15,17,18,20,21,24,25,27,28,29,30,32,33	0.7368421052631579	23.789473684210524	117	REAGENT	141.59320294360353	555.262895624813	179.23143299793844	""
6204	Taenia solium	Eukaryota	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	Taenia	Taenia solium	Platyhelminthes|Cestoda|Cyclophyllidea|Taeniidae|Taenia|Taenia solium	14	2.0	4	28	1	false	13,15,16,18,20,21,22,24,26,27,29,30,31,33	0.7368421052631579	1.4736842105263157	0	REAGENT	16.423958805822476	49.16179145568064	12.724898099804582	""
1269	Micrococcus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	""	Actinomycetota|Actinomycetes|Micrococcales|Micrococcaceae|Micrococcus	12	588.5	3477	7062	1	false	13,16,18,20,22,23,24,25,26,27,31,33	0.631578947368421	371.6842105263158	0	REAGENT	8258.64081621525	54489.515019026796	19016.848719687707	""
33882	Microbacterium	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	""	Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae|Microbacterium	12	27.083333333333332	79	325	2	true	17,20,21,22,23,27,28,29,30,31,32,33	0.631578947368421	17.105263157894736	79	REAGENT	135.80367154602465	374.92110046461744	111.67446051924213	""
29388	Staphylococcus capitis	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus capitis	Bacillota|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus capitis	12	14.5	72	174	1	false	13,15,16,17,18,20,21,25,26,29,30,33	0.631578947368421	9.157894736842104	0	REAGENT	95.38507888355922	307.9265424126045	82.24580990313633	""
374	Bradyrhizobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	""	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae|Bradyrhizobium	11	74.0	342	814	2	true	16,17,20,22,27,28,29,30,31,32,33	0.5789473684210527	42.84210526315789	9	REAGENT	305.00827389488967	1184.2638345908924	342.80743773952094	""
1912216	Cutibacterium	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	""	Actinomycetota|Actinomycetes|Propionibacteriales|Propionibacteriaceae|Cutibacterium	10	21.7	132	217	1	false	13,15,16,17,18,21,23,25,30,33	0.5263157894736842	11.421052631578947	0	REAGENT	134.7141914121609	564.5319944231081	162.8892178344883	""
1301	Streptococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	""	Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	10	7.6	12	76	2	false	17,18,20,23,25,27,29,30,31,33	0.5263157894736842	4.0	0	REAGENT	55.65626280742691	210.18706648917535	56.767642104249006	""
3695485	3695485	Eukaryota	""	""	""	""	""	""	""	10	1.6	3	16	1	true	15,18,20,24,27,28,29,31,32,33	0.5263157894736842	0.8421052631578947	2	REAGENT	10.210794534335324	28.31778215130191	7.148460055751006	""
6181	Schistosoma	Eukaryota	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma	""	Platyhelminthes|Trematoda|Strigeidida|Schistosomatidae|Schistosoma	10	1.4	2	14	1	true	13,16,18,20,21,22,25,28,29,32	0.5263157894736842	0.7368421052631579	2	REAGENT	12.212948601348753	26.705122042407734	9.71927849873561	""
