taxid	organism_name
4840	Rhizomucor pusillus
4896	Schizosaccharomyces pombe
4909	Pichia kudriavzevii
4950	Torulaspora delbrueckii
4952	Yarrowia lipolytica
4956	Zygosaccharomyces rouxii
4972	Dioszegia hungarica
4999	Kockovaella imperatae
5007	Brettanomyces bruxellensis
5016	Bipolaris maydis
5022	Plenodomus lingam
5059	Aspergillus flavus
5061	Aspergillus niger
5068	Aspergillus tubingensis
5074	Penicillium brevicompactum
5076	Penicillium chrysogenum
5077	Penicillium citrinum
5078	Penicillium griseofulvum
5082	Penicillium roqueforti
5083	Penicillium canescens
5088	Thermoascus crustaceus
5147	Sordaria macrospora
5210	Filobasidium floriforme
5270	Mycosarcoma maydis
5322	Pleurotus ostreatus
5353	Lentinula edodes
5454	Ascochyta rabiei
5467	Colletotrichum truncatum
5478	Nakaseomyces glabratus
5480	Candida parapsilosis
5481	Diutina rugosa
5499	Fulvia fulva
5541	Thermomyces lanuginosus
5599	Alternaria alternata
6039	Vairimorpha necatrix
13502	Brettanomyces nanus
27288	Naumovozyma castellii
27291	Saccharomyces paradoxus
27334	Penicillium expansum
27357	Colletotrichum acutatum
28549	Priceomyces carsonii
28565	Thermomyces dupontii
28985	Kluyveromyces lactis
29845	Penicillium vulpinum
29922	Mucor mucedo
33203	Purpureocillium lilacinum
34406	Colletotrichum destructivum
34475	Rhodofomes roseus
36035	Saccharomycodes ludwigii
36050	Fusarium poae
36646	Penicillium coprophilum
36651	Penicillium digitatum
36656	Penicillium crustosum
36911	Clavispora lusitaniae
36914	Lodderomyces elongisporus
37727	Talaromyces marneffei
39416	Tuber melanosporum
40302	Vairimorpha ceranae
40994	Penicillium hordei
41047	Aspergillus thermomutatus
41067	Aspergillus candidus
42260	Zygotorulaspora mrakii
42677	Fusarium subglutinans
43433	Tricharina praecox
43959	Saccharomycopsis crataegensis
44089	Dipodascopsis tothii
45133	Lasiodiplodia theobromae
45151	Pyrenophora tritici-repentis
45286	Eremothecium sinecaudum
45303	Alternaria infectoria
45357	Candidozyma haemuli
45513	Scheffersomyces spartinae
45607	Wickerhamiella sorbophila
45792	Lipomyces oligophaga
48095	Alternaria dauci
48254	Torulaspora globosa
48563	Suillus bovinus
48578	Suillus paluster
48586	Suillus subalutaceus
48587	Suillus subaureus
48865	Fusarium redolens
51156	Cadophora gregata
54092	Lipomyces tetrasporus
54550	Myxozyma melibiosi
56418	Lipomyces arxii
56646	Fusarium venenatum
56871	Lipomyces japonicus
58627	Debaryomyces fabryi
58853	Trichoderma citrinoviride
58919	Tilletiopsis washingtonensis
60171	Penicillium verrucosum
60172	Penicillium solitum
61262	Maudiozyma barnettii
61395	Linderina pennispora
61397	Kickxella alabastrina
61420	Aspergillus caelatus
63214	Hypoxylon fragiforme
63577	Trichoderma atroviride
63820	Penicillium chermesinum
63821	Penicillium daleae
64571	Lobosporangium transversale
64574	Radiomyces spectabilis
64632	Mycotypha africana
64656	Zychaea mexicana
69781	Penicillium oxalicum
69789	Penicillium soppii
69791	Penicillium waksmanii
70096	Penicillium cinerascens
72144	Remersonia thermophila
74035	Arthroderma uncinatum
75553	Aspergillus viridinutans
76775	Malassezia restricta
77020	Malassezia pachydermatis
83186	Diaporthe citri
84275	Cercospora kikuchii
84753	Moesziomyces antarcticus
85995	Mycothermus thermophilus
87229	Botrytis porri
89139	Rasamsonia byssochlamydoides
90255	Cokeromyces recurvatus
91492	Aspergillus udagawae
91928	Exophiala spinifera
92637	Metarhizium acridum
94218	Penicillium lagena
94610	Neurospora tetraspora
97331	Arthrobotrys flagrans
98403	Drechmeria coniospora
101096	Gilbertella persicaria
101098	Gamsiella multidivaricata
101107	Halteromyces radiatus
101201	Trichoderma asperellum
103429	Daldinia loculata
105984	Apiotrichum porosum
109264	Aspergillus bombycis
110093	Polychytrium aggregatum
111463	Hirsutella rhossiliensis
112416	Letharia columbiana
112498	Ramularia collo-cygni
114800	Daldinia vernicosa
116603	Suillus plorans
116970	Penicillium angulare
119953	Alternaria atra
120017	Ustilago hordei
